repo,url,license,license_type,note,report
onesmash/slm-as-harness,https://github.com/onesmash/slm-as-harness,MIT（LICENSE 确认）,宽松许可,基于 skills/docs 结构与 LICENSE；README 不可用。,reports/onesmash__slm-as-harness.md
oomol-lab/open-connector,https://github.com/oomol-lab/open-connector,Apache-2.0,宽松许可,,reports/oomol-lab__open-connector.md
op7418/CodePilot,https://github.com/op7418/CodePilot,BSL-1.1（商业受限）,BSL（商用受限）,**BSL-1.1 许可证**：生产/商用集成需评估条款（并非宽松 MIT/Apache）,reports/op7418__CodePilot.md
open-multi-agent/open-multi-agent,https://github.com/open-multi-agent/open-multi-agent,MIT,宽松许可,,reports/open-multi-agent__open-multi-agent.md
openmodu/modu,https://github.com/openmodu/modu,未见 LICENSE 文件（需确认）,无许可证/待核对,**未见 LICENSE 文件**（列入本地 backlog）,reports/openmodu__modu.md
pakco77/mishu.skill,https://github.com/pakco77/mishu.skill,MIT,宽松许可,,reports/pakco77__mishu.skill.md
peisp/catdb,https://github.com/peisp/catdb,Apache-2.0（LICENSE 确认）,宽松许可,,reports/peisp__catdb.md
percena/memfuse,https://github.com/percena/memfuse,MIT,宽松许可,,reports/percena__memfuse.md
physiclaw/PhysiClaw,https://github.com/physiclaw/PhysiClaw,MIT,宽松许可,,reports/physiclaw__PhysiClaw.md
platonai/Browser4,https://github.com/platonai/Browser4,Apache-2.0,宽松许可,,reports/platonai__Browser4.md
praxstack/agent-org,https://github.com/praxstack/agent-org,MIT,宽松许可,,reports/praxstack__agent-org.md
proma-ai/Proma,https://github.com/proma-ai/Proma,AGPL-3.0,强 copyleft,,reports/proma-ai__Proma.md
pumblus/okf-harness,https://github.com/pumblus/okf-harness,Apache-2.0,宽松许可,,reports/pumblus__okf-harness.md
readest/readest,https://github.com/readest/readest,AGPL-3.0,强 copyleft,AGPL-3.0 对商用集成有传染性要求,reports/readest__readest.md
rocky2431/ultra-builder-pro,https://github.com/rocky2431/ultra-builder-pro,MIT,宽松许可,,reports/rocky2431__ultra-builder-pro.md
runesleo/claude-code-workflow,https://github.com/runesleo/claude-code-workflow,MIT,宽松许可,,reports/runesleo__claude-code-workflow.md
rust-infra/tact,https://github.com/rust-infra/tact,README 标 MIT（仓库未见 LICENSE 文件，需确认）,无许可证/待核对,**未见 LICENSE 文件**（列入本地 backlog）,reports/rust-infra__tact.md
rustscript-lang/rustscript,https://github.com/rustscript-lang/rustscript,Apache-2.0,宽松许可,,reports/rustscript-lang__rustscript.md
samelabs/Kungfu,https://github.com/samelabs/Kungfu,MIT,宽松许可,,reports/samelabs__Kungfu.md
sdougbrown/avenor,https://github.com/sdougbrown/avenor,MIT,宽松许可,,reports/sdougbrown__avenor.md
shanyuzhe/research-fleet,https://github.com/shanyuzhe/research-fleet,MIT,宽松许可,,reports/shanyuzhe__research-fleet.md
shi275773124/Falsify,https://github.com/shi275773124/Falsify,MIT,宽松许可,,reports/shi275773124__Falsify.md
shuwenhe/neurx,https://github.com/shuwenhe/neurx,未见 LICENSE 文件（需确认）,无许可证/待核对,**未见 LICENSE 文件**（列入本地 backlog）,reports/shuwenhe__neurx.md
shuwenhe/s,https://github.com/shuwenhe/s,未见 LICENSE 文件（需确认）,无许可证/待核对,**未见 LICENSE 文件**（列入本地 backlog）,reports/shuwenhe__s.md
sigcli/sigcli,https://github.com/sigcli/sigcli,MIT,宽松许可,,reports/sigcli__sigcli.md
simple-agent-lab/simple-long-horizon-agent,https://github.com/simple-agent-lab/simple-long-horizon-agent,Apache-2.0,宽松许可,,reports/simple-agent-lab__simple-long-horizon-agent.md
solo-agent/solo,https://github.com/solo-agent/solo,MIT,宽松许可,,reports/solo-agent__solo.md
stonega/cusco,https://github.com/stonega/cusco,GPL-3.0,强 copyleft,,reports/stonega__cusco.md
synvo-ai/local-cocoa,https://github.com/synvo-ai/local-cocoa,MIT,宽松许可,,reports/synvo-ai__local-cocoa.md
synvo-ai/mobile-cocoa,https://github.com/synvo-ai/mobile-cocoa,未见 LICENSE 文件（需确认）,无许可证/待核对,**未见 LICENSE 文件**（列入本地 backlog）,reports/synvo-ai__mobile-cocoa.md
talesofai/cohub,https://github.com/talesofai/cohub,Apache-2.0,宽松许可,,reports/talesofai__cohub.md
tao12345666333/amcp,https://github.com/tao12345666333/amcp,Apache-2.0,宽松许可,,reports/tao12345666333__amcp.md
taxueseek/kimix,https://github.com/taxueseek/kimix,Apache-2.0,宽松许可,,reports/taxueseek__kimix.md
tddworks/baguette,https://github.com/tddworks/baguette,Apache-2.0,宽松许可,,reports/tddworks__baguette.md
termlnk/termlnk,https://github.com/termlnk/termlnk,PolyForm Noncommercial 1.0.0（**非商用**）,非商用,"**快速判断**：如果你想要""智能终端""体验，它值得试；**注意非商用许可**。；**PolyForm 非商用**（列入本地 backlog）",reports/termlnk__termlnk.md
terryso/open-agent-sdk-swift,https://github.com/terryso/open-agent-sdk-swift,MIT,宽松许可,,reports/terryso__open-agent-sdk-swift.md
thinkany-ai/dscode,https://github.com/thinkany-ai/dscode,MIT,宽松许可,,reports/thinkany-ai__dscode.md
tommy0103/obelisk,https://github.com/tommy0103/obelisk,AGPL-3.0,强 copyleft,,reports/tommy0103__obelisk.md
trynhexagon/hermes-console,https://github.com/trynhexagon/hermes-console,Apache-2.0,宽松许可,,reports/trynhexagon__hermes-console.md
trynhexagon/tide,https://github.com/trynhexagon/tide,Apache-2.0,宽松许可,,reports/trynhexagon__tide.md
tt-a1i/archify,https://github.com/tt-a1i/archify,MIT,宽松许可,,reports/tt-a1i__archify.md
tt-a1i/hive,https://github.com/tt-a1i/hive,Apache-2.0（≤0.6.0-alpha.7）→ **BSL-1.1**（2030 转 Apache-2.0）,BSL（商用受限）,**BSL-1.1**：0.6.0-alpha.8 起非宽松许可，商用需评估；基于 README、LICENSE 与目录结构；未运行。,reports/tt-a1i__hive.md
vorojar/AgentClaw,https://github.com/vorojar/AgentClaw,README 标 MIT（仓库未见 LICENSE 文件，需确认）,无许可证/待核对,**未见 LICENSE 文件**（列入本地 backlog）,reports/vorojar__AgentClaw.md
vst93/floter,https://github.com/vst93/floter,GPL-3.0,强 copyleft,,reports/vst93__floter.md
vst93/ttm,https://github.com/vst93/ttm,MIT,宽松许可,,reports/vst93__ttm.md
wcq-glhf/prex-quant,https://github.com/wcq-glhf/prex-quant,Apache-2.0,宽松许可,,reports/wcq-glhf__prex-quant.md
web-infra-dev/midscene,https://github.com/web-infra-dev/midscene,MIT,宽松许可,,reports/web-infra-dev__midscene.md
weiesky/cc-viewer,https://github.com/weiesky/cc-viewer,MIT,宽松许可,,reports/weiesky__cc-viewer.md
whiteguo233/OpenBiliClaw,https://github.com/whiteguo233/OpenBiliClaw,MIT,宽松许可,,reports/whiteguo233__OpenBiliClaw.md
wowyuarm/Loom,https://github.com/wowyuarm/Loom,未见 LICENSE 文件（需确认）,无许可证/待核对,**未见 LICENSE 文件**（列入本地 backlog）,reports/wowyuarm__Loom.md
xaixapi/xai,https://github.com/xaixapi/xai,未见 LICENSE 文件（需确认）,无许可证/待核对,**无 LICENSE、无代码**（列入本地 backlog）,reports/xaixapi__xai.md
xfx-studio/claworld-hermes-plugin,https://github.com/xfx-studio/claworld-hermes-plugin,ISC,宽松许可,,reports/xfx-studio__claworld-hermes-plugin.md
xiaozhenliu/micro-eval,https://github.com/xiaozhenliu/micro-eval,Apache-2.0,宽松许可,,reports/xiaozhenliu__micro-eval.md
xicilion/boxsh,https://github.com/xicilion/boxsh,GPL-3.0（LICENSE.md 确认）,强 copyleft,基于 README、src/sdk 结构与 LICENSE.md；未运行沙箱。,reports/xicilion__boxsh.md
xin-yi33/RxyCode,https://github.com/xin-yi33/RxyCode,MIT,宽松许可,,reports/xin-yi33__RxyCode.md
xlang-ai/OpenCUA,https://github.com/xlang-ai/OpenCUA,MIT,宽松许可,,reports/xlang-ai__OpenCUA.md
xscanzm/recall,https://github.com/xscanzm/recall,BSL-1.1（LICENSE 确认）,BSL（商用受限）,,reports/xscanzm__recall.md
xueyufish/hecate,https://github.com/xueyufish/hecate,MIT,宽松许可,,reports/xueyufish__hecate.md
xuzhougeng/wisp-science,https://github.com/xuzhougeng/wisp-science,AGPL-3.0,强 copyleft,,reports/xuzhougeng__wisp-science.md
yanhua1010/build-your-own-coding-agent,https://github.com/yanhua1010/build-your-own-coding-agent,未见 LICENSE 文件（需确认）,无许可证/待核对,**未见 LICENSE 文件**（列入本地 backlog）,reports/yanhua1010__build-your-own-coding-agent.md
yofine/Mexus,https://github.com/yofine/Mexus,Apache-2.0,宽松许可,,reports/yofine__Mexus.md
yologdev/yoagent,https://github.com/yologdev/yoagent,MIT,宽松许可,,reports/yologdev__yoagent.md
yologdev/yoyo-evolve,https://github.com/yologdev/yoyo-evolve,MIT,宽松许可,,reports/yologdev__yoyo-evolve.md
ythx-101/agent-sop,https://github.com/ythx-101/agent-sop,MIT,宽松许可,,reports/ythx-101__agent-sop.md
yuanchenglu/deepcode,https://github.com/yuanchenglu/deepcode,MIT,宽松许可,,reports/yuanchenglu__deepcode.md
yuanchenglu/deepseek_runtime,https://github.com/yuanchenglu/deepseek_runtime,Apache-2.0（LICENSE 确认）,宽松许可,,reports/yuanchenglu__deepseek_runtime.md
yuanchenglu/deepseekagent,https://github.com/yuanchenglu/deepseekagent,MIT + BSL-1.1,BSL（商用受限）,**MIT + BSL-1.1**：商用需确认（列入本地 backlog）,reports/yuanchenglu__deepseekagent.md
yuanchenglu/llm-harness-agent,https://github.com/yuanchenglu/llm-harness-agent,CC BY-NC-SA 4.0（**非商用**）,非商用,**CC BY-NC-SA 4.0 非商用**（列入本地 backlog）,reports/yuanchenglu__llm-harness-agent.md
yuanchenglu/oh-my-deepseek-harness,https://github.com/yuanchenglu/oh-my-deepseek-harness,MIT,宽松许可,,reports/yuanchenglu__oh-my-deepseek-harness.md
yuelangmanle/plankton,https://github.com/yuelangmanle/plankton,Apache-2.0,宽松许可,,reports/yuelangmanle__plankton.md
zgiai/zgi,https://github.com/zgiai/zgi,ZGI Community License 1.0（自定义社区许可）,自定义/分层,"**快速判断**：如果你要""开箱即用的 Agent Runtime 工作区""，它值得看；**注意自定义许可证**，使用前需读条款。；Go + Next.js 的 Agent Runtime 工作区：agents、workflows、skills、knowledge、model routes 一体化，Docker Compose 部署，社区版开源（自定义许可）。",reports/zgiai__zgi.md
zhoudongliang-lut/agent-runtime,https://github.com/zhoudongliang-lut/agent-runtime,未见 LICENSE 文件（需确认）,无许可证/待核对,**未见 LICENSE 文件**（列入本地 backlog）,reports/zhoudongliang-lut__agent-runtime.md
zhuangbiaowei/smart_agent,https://github.com/zhuangbiaowei/smart_agent,MIT,宽松许可,,reports/zhuangbiaowei__smart_agent.md
zhuangbiaowei/smart_bot,https://github.com/zhuangbiaowei/smart_bot,MIT,宽松许可,,reports/zhuangbiaowei__smart_bot.md
zhuangbiaowei/smart_brain,https://github.com/zhuangbiaowei/smart_brain,MIT,宽松许可,,reports/zhuangbiaowei__smart_brain.md
zhuangbiaowei/smart_prompt,https://github.com/zhuangbiaowei/smart_prompt,MIT,宽松许可,,reports/zhuangbiaowei__smart_prompt.md
zhuangbiaowei/smart_rag,https://github.com/zhuangbiaowei/smart_rag,未见 LICENSE 文件（需确认）,无许可证/待核对,**未见 LICENSE 文件**（列入本地 backlog）,reports/zhuangbiaowei__smart_rag.md
zhulin025/LaoA-Harness,https://github.com/zhulin025/LaoA-Harness,未见 LICENSE 文件（需确认）,无许可证/待核对,**未见 LICENSE 文件**（列入本地 backlog）,reports/zhulin025__LaoA-Harness.md
zhuzhaoyun/Molio,https://github.com/zhuzhaoyun/Molio,修改版 Apache-2.0（商用需商业许可）,自定义/分层,**修改版 Apache-2.0**：商用需商业许可（列入本地 backlog）；基于 README、apps/ 与 LICENSE；未运行。,reports/zhuzhaoyun__Molio.md
zqiren/Orbital,https://github.com/zqiren/Orbital,GPL-3.0,强 copyleft,,reports/zqiren__Orbital.md
